symbol,name,indus_code,indus_name,exc,m_stholder,m_employee,r_tcbsrating,year,m_cap,m_share,r_pb,r_pe,r_eps,r_bvps,p_roe,p_div
ASG,Công ty Cổ phần Tập đoàn ASG,2700,Hàng & Dịch vụ Công nghiệp,HOSE,558,1815,2.4,2024,1593270940950,90784669,1.2131535018,56.8835075226,308.5252784916801,14466.4298244674,0.0228348669,0.0
BST,Công ty Cổ phần Sách và Thiết bị Bình Thuận,5500,Truyền thông,HNX,119,33,-1,2024,12650000000,1100000,0.8234347969,9.1852149436,1472.955379090909,13965.8902481818,0.1049556599,0.0869565217
AG1,Công ty Cổ phần 28.1,3700,Hàng cá nhân & Gia dụng,UPCOM,196,444,-1,2024,61006313984,4863386,1.071551181,9.9644660069,1774.6557044824326,11706.3937051264,0.1600965141,0.0996492347
BVN,Công ty Cổ phần Bông Việt Nam,3700,Hàng cá nhân & Gia dụng,UPCOM,199,23,-1,2024,74000000000,5000000,0.6938944241,4.98948538,2966.2377726,21328.8931072,0.1494644522,0.0
BCC,Công ty Cổ phần Xi măng Bỉm Sơn,2300,Xây dựng và Vật liệu,HNX,0,1170,2.3,2024,887110646400,123209812,0.4891090425,-142.5824589995,-50.497095158297945,14720.6438107786,-0.0034244855,0.0
BTD,Công ty Cổ phần Bê tông ly tâm Thủ Đức,2300,Xây dựng và Vật liệu,UPCOM,322,653,-1,2024,113529570000,6414100,0.6149894711,12.2649786051,1443.1333775588157,28780.9805381893,0.0505763348,0.0
CMW,Công ty Cổ phần Cấp nước Cà Mau,7500,"Điện, nước & xăng dầu khí đốt",UPCOM,159,262,2.7,2024,217488600000,15534900,1.2467703802,15.3076567573,914.5749883166291,11229.0123523808,0.0823179688,0.0
BDG,Công ty Cổ phần May mặc Bình Dương,3700,Hàng cá nhân & Gia dụng,UPCOM,1044,1848,3.1,2024,822861345600,24799920,1.3263990184,5.0090343589,6624.031224899112,25015.0969201917,0.2864823215,0.0
BHK,Công ty Cổ phần Bia Hà Nội - Kim Bài,3500,Thực phẩm và đồ uống,UPCOM,322,170,-1,2024,75734000000,3986000,1.5146865352,19.3966652645,1151.1504237330657,12543.8495416458,0.092008897,0.0473684211
CBS,Công ty Cổ phần Mía đường Cao Bằng,3500,Thực phẩm và đồ uống,UPCOM,645,284,-1,2021,0,0,0,0,0,0,0,0
BLN,Công ty Cổ phần Vận tải và Dịch vụ Liên Ninh,5700,Du lịch và Giải trí,UPCOM,375,463,-1,2024,35000000000.0,5000000.0,0.6436252151,33.7682141924,207.2955342,10875.8945984,0.0192274426,0.0
ASP,Công ty Cổ phần Tập đoàn Dầu khí An Pha,7500,"Điện, nước & xăng dầu khí đốt",HOSE,4360,1520,2.3,2024,179231659200,37339929,0.5952208004,25.1397048457,190.93302922456013,8064.2343091761,0.0241068299,0.0
FHS,Công ty Cổ phần Phát hành sách Thành phố Hồ Chí Minh - FAHASA,5500,Truyền thông,UPCOM,525,2230,-1,2024,492206433200,12751462,2.2541345538,12.2178131022,4493.262679918585,17124.0886817527,0.2737322535,0.0466321244
HNB,Công ty Cổ phần Bến xe Hà Nội,2700,Hàng & Dịch vụ Công nghiệp,UPCOM,434,363,-1,2024,119700000000,9500000,1.0683626916,16.307624189,1004.7340468421053,11793.7476651579,0.0855775402,0.0
ROS,Công ty Cổ phần Xây dựng FLC FAROS,2300,Xây dựng và Vật liệu,UPCOM,16963,251,2.3,2021,1424671283710,567598121,0.2334065537,14.9648050194,167.72687627695652,10753.7683072985,0.0157196225,0
FCM,Công ty Cổ phần Khoáng sản FECON,2300,Xây dựng và Vật liệu,HOSE,3423,275,2.7,2024,175198912540,46226626,0.3274642218,121.7503540652,33.30389258779129,11573.7834769511,0.0028740759,0.0
